id,state,year,totalPop,county,ir_cusfr,ir_irtot,ic_wfrto,ic_irtot,ig_cusfr,ig_irtot,li_wfrto,aq_wgwto,aq_wswto
Apache County1995,AZ,1995,67.8,Apache County,8.82,9.55,,,,,1.36,1.6,3.68
Cochise County1995,AZ,1995,110.06,Cochise County,110.75,53.95,,,,,1.36,1.6,3.68
Coconino County1995,AZ,1995,110.5,Coconino County,4.51,4.05,,,,,1.36,1.6,3.68
Gila County1995,AZ,1995,46.04,Gila County,7.31,1.55,,,,,1.36,1.6,3.68
Graham County1995,AZ,1995,29.59,Graham County,86.42,38.9,,,,,1.36,1.6,3.68
Greenlee County1995,AZ,1995,9.23,Greenlee County,10.48,3.5,,,,,1.36,1.6,3.68
La Paz County1995,AZ,1995,14.31,La Paz County,340.38,78.95,,,,,1.36,1.6,3.68
Maricopa County1995,AZ,1995,2432.37,Maricopa County,1042.22,352.4,,,,,1.36,1.6,3.68
Mohave County1995,AZ,1995,121.6,Mohave County,77.77,17.2,,,,,1.36,1.6,3.68
Navajo County1995,AZ,1995,89.25,Navajo County,13.16,3.65,,,,,1.36,1.6,3.68
Pima County1995,AZ,1995,752.43,Pima County,60.83,29.33,,,,,1.36,1.6,3.68
Pinal County1995,AZ,1995,131.21,Pinal County,605.05,255.24,,,,,1.36,1.6,3.68
Santa Cruz County1995,AZ,1995,36.08,Santa Cruz County,6.85,2.1,,,,,1.36,1.6,3.68
Yavapai County1995,AZ,1995,134.6,Yavapai County,24.23,6.85,,,,,1.36,1.6,3.68
Yuma County1995,AZ,1995,132.87,Yuma County,780.07,230.65,,,,,1.36,1.6,3.68
Apache County1990,AZ,1990,1.85,Apache County,140.74,75.51,,,,,1.36,1.6,3.68
Cochise County1990,AZ,1990,1.28,Cochise County,140.74,75.51,,,,,1.36,1.6,3.68
Coconino County1990,AZ,1990,1.64,Coconino County,140.74,75.51,,,,,1.36,1.6,3.68
Gila County1990,AZ,1990,1.27,Gila County,140.74,75.51,,,,,1.36,1.6,3.68
Graham County1990,AZ,1990,0.88,Graham County,140.74,75.51,,,,,1.36,1.6,3.68
Greenlee County1990,AZ,1990,0.25,Greenlee County,140.74,75.51,,,,,1.36,1.6,3.68
La Paz County1990,AZ,1990,0.24,La Paz County,140.74,75.51,,,,,1.36,1.6,3.68
Maricopa County1990,AZ,1990,5.67,Maricopa County,140.74,75.51,,,,,1.36,1.6,3.68
Mohave County1990,AZ,1990,0.57,Mohave County,140.74,75.51,,,,,1.36,1.6,3.68
Navajo County1990,AZ,1990,1.66,Navajo County,140.74,75.51,,,,,1.36,1.6,3.68
Pima County1990,AZ,1990,1.88,Pima County,140.74,75.51,,,,,1.36,1.6,3.68
Pinal County1990,AZ,1990,7,Pinal County,140.74,75.51,,,,,1.36,1.6,3.68
Santa Cruz County1990,AZ,1990,0.12,Santa Cruz County,140.74,75.51,,,,,1.36,1.6,3.68
Yavapai County1990,AZ,1990,2.31,Yavapai County,140.74,75.51,,,,,1.36,1.6,3.68
Yuma County1990,AZ,1990,2.69,Yuma County,140.74,75.51,,,,,1.36,1.6,3.68
Apache County1985,AZ,1985,59.94,Apache County,140.74,75.51,,,,,1.36,1.6,3.68
Cochise County1985,AZ,1985,96.3,Cochise County,140.74,75.51,,,,,1.36,1.6,3.68
Coconino County1985,AZ,1985,85.96,Coconino County,140.74,75.51,,,,,1.36,1.6,3.68
Gila County1985,AZ,1985,45.44,Gila County,140.74,75.51,,,,,1.36,1.6,3.68
Graham County1985,AZ,1985,23.3,Graham County,140.74,75.51,,,,,1.36,1.6,3.68
Greenlee County1985,AZ,1985,8.7,Greenlee County,140.74,75.51,,,,,1.36,1.6,3.68
La Paz County1985,AZ,1985,16.97,La Paz County,140.74,75.51,,,,,1.36,1.6,3.68
Maricopa County1985,AZ,1985,1843.28,Maricopa County,140.74,75.51,,,,,1.36,1.6,3.68
Mohave County1985,AZ,1985,68.02,Mohave County,140.74,75.51,,,,,1.36,1.6,3.68
Navajo County1985,AZ,1985,72.26,Navajo County,140.74,75.51,,,,,1.36,1.6,3.68
Pima County1985,AZ,1985,626.33,Pima County,140.74,75.51,,,,,1.36,1.6,3.68
Pinal County1985,AZ,1985,102.05,Pinal County,140.74,75.51,,,,,1.36,1.6,3.68
Santa Cruz County1985,AZ,1985,27.1,Santa Cruz County,140.74,75.51,,,,,1.36,1.6,3.68
Yavapai County1985,AZ,1985,84.66,Yavapai County,140.74,75.51,,,,,1.36,1.6,3.68
Yuma County1985,AZ,1985,118.91,Yuma County,140.74,75.51,,,,,1.36,1.6,3.68
Alameda County2015,CA,2015,1638.22,Alameda County,7.97,12.66,7.64,10.61,1.42,2.05,0.27,0,0
Alameda County2010,CA,2010,1510.27,Alameda County,140.74,11.5,16.87,9.39,,2.11,0.27,3.65,9
Alameda County2005,CA,2005,1448.91,Alameda County,140.74,5.25,,,,0,1.36,1.6,3.68
Alameda County2000,CA,2000,1443.74,Alameda County,140.74,10,,,,,1.36,1.6,3.68
Alameda County1995,CA,1995,1347.7,Alameda County,12.23,5.5,,,,,1.36,1.6,3.68
Alameda County1990,CA,1990,0.66,Alameda County,140.74,75.51,,,,,1.36,1.6,3.68
Alameda County1985,CA,1985,1195.16,Alameda County,140.74,75.51,,,,,1.36,1.6,3.68
Alpine County2015,CA,2015,1.11,Alpine County,6.99,3.74,9.69,3.74,0,0,0,0,0
Alpine County2010,CA,2010,1.18,Alpine County,140.74,1.62,4.22,1.62,,0,0.01,0,0
Alpine County2005,CA,2005,1.16,Alpine County,140.74,3.78,,,,0,1.36,1.6,3.68
Alpine County2000,CA,2000,1.21,Alpine County,140.74,4,,,,,1.36,1.6,3.68
Alpine County1995,CA,1995,1.17,Alpine County,23.52,6.3,,,,,1.36,1.6,3.68
Alpine County1990,CA,1990,0.12,Alpine County,140.74,75.51,,,,,1.36,1.6,3.68
Alpine County1985,CA,1985,1.2,Alpine County,140.74,75.51,,,,,1.36,1.6,3.68
Amador County2015,CA,2015,37,Amador County,17.18,9.01,20.46,8.82,0.22,0.19,0.23,0,7.44
Amador County2010,CA,2010,38.09,Amador County,140.74,0.2,16.49,0,,0.2,0.23,0,5.98
Amador County2005,CA,2005,38.47,Amador County,140.74,0,,,,0,1.36,1.6,3.68
Amador County2000,CA,2000,35.1,Amador County,140.74,8.23,,,,,1.36,1.6,3.68
Amador County1995,CA,1995,32.6,Amador County,14.69,5.4,,,,,1.36,1.6,3.68
Amador County1990,CA,1990,0.17,Amador County,140.74,75.51,,,,,1.36,1.6,3.68
Amador County1985,CA,1985,22.89,Amador County,140.74,75.51,,,,,1.36,1.6,3.68
Butte County2015,CA,2015,225.41,Butte County,591.87,224.47,752.2,223.95,0.36,0.52,0.29,21.27,0
Butte County2010,CA,2010,220,Butte County,140.74,221.86,645.25,221.22,,0.64,0.32,18.83,0
Butte County2005,CA,2005,214.19,Butte County,140.74,206.94,,,,0,1.36,1.6,3.68
Butte County2000,CA,2000,203.17,Butte County,140.74,257.36,,,,,1.36,1.6,3.68
Butte County1995,CA,1995,196.1,Butte County,759.8,225.3,,,,,1.36,1.6,3.68
Butte County1990,CA,1990,0.24,Butte County,140.74,75.51,,,,,1.36,1.6,3.68
Butte County1985,CA,1985,163.22,Butte County,140.74,75.51,,,,,1.36,1.6,3.68
Calaveras County2015,CA,2015,44.83,Calaveras County,7.45,3.67,8.18,3.24,0.47,0.43,0.25,0,0
Calaveras County2010,CA,2010,45.58,Calaveras County,140.74,4.85,11.04,4.3,,0.55,0.38,0,0
Calaveras County2005,CA,2005,46.87,Calaveras County,140.74,1.45,,,,0,1.36,1.6,3.68
Calaveras County2000,CA,2000,40.55,Calaveras County,140.74,2.72,,,,,1.36,1.6,3.68
Calaveras County1995,CA,1995,36.95,Calaveras County,4.59,1.8,,,,,1.36,1.6,3.68
Calaveras County1990,CA,1990,0.2,Calaveras County,140.74,75.51,,,,,1.36,1.6,3.68
Calaveras County1985,CA,1985,26.88,Calaveras County,140.74,75.51,,,,,1.36,1.6,3.68
Colusa County2015,CA,2015,21.48,Colusa County,556.7,309.73,695.18,309.66,0.05,0.07,0.24,0,0
Colusa County2010,CA,2010,21.42,Colusa County,140.74,300.82,828.87,300.73,,0.09,0.28,0,0
Colusa County2005,CA,2005,21.1,Colusa County,140.74,267.29,,,,0,1.36,1.6,3.68
Colusa County2000,CA,2000,18.8,Colusa County,140.74,259.38,,,,,1.36,1.6,3.68
Colusa County1995,CA,1995,17.85,Colusa County,837.43,298,,,,,1.36,1.6,3.68
Colusa County1990,CA,1990,0.38,Colusa County,140.74,75.51,,,,,1.36,1.6,3.68
Colusa County1985,CA,1985,14.69,Colusa County,140.74,75.51,,,,,1.36,1.6,3.68
Contra Costa County2015,CA,2015,1126.75,Contra Costa County,72.03,42.42,84.9,40.03,1.67,2.39,0.4,0,0
Contra Costa County2010,CA,2010,1049.03,Contra Costa County,140.74,38.27,63.06,35.41,,2.86,0.36,0,0
Contra Costa County2005,CA,2005,1017.79,Contra Costa County,140.74,34.72,,,,0,1.36,1.6,3.68
Contra Costa County2000,CA,2000,948.82,Contra Costa County,140.74,44.35,,,,,1.36,1.6,3.68
Contra Costa County1995,CA,1995,867.3,Contra Costa County,82.45,39,,,,,1.36,1.6,3.68
Contra Costa County1990,CA,1990,0.65,Contra Costa County,140.74,75.51,,,,,1.36,1.6,3.68
Contra Costa County1985,CA,1985,711.88,Contra Costa County,140.74,75.51,,,,,1.36,1.6,3.68
Del Norte County2015,CA,2015,27.25,Del Norte County,12.75,9.36,16.35,9.29,0.05,0.07,0.57,0,0
Del Norte County2010,CA,2010,28.61,Del Norte County,140.74,7.7,9.55,7.61,,0.09,0.5,0,0
Del Norte County2005,CA,2005,28.71,Del Norte County,140.74,7.1,,,,0,1.36,1.6,3.68
Del Norte County2000,CA,2000,27.51,Del Norte County,140.74,7.28,,,,,1.36,1.6,3.68
Del Norte County1995,CA,1995,27.6,Del Norte County,14.79,6.7,,,,,1.36,1.6,3.68
Del Norte County1990,CA,1990,0.11,Del Norte County,140.74,75.51,,,,,1.36,1.6,3.68
Del Norte County1985,CA,1985,18.68,Del Norte County,140.74,75.51,,,,,1.36,1.6,3.68
El Dorado County2015,CA,2015,184.45,El Dorado County,22.01,7.22,25.64,6.41,0.87,0.81,0.18,0,0
El Dorado County2010,CA,2010,181.06,El Dorado County,140.74,6.79,7.8,5.85,,0.94,0.16,0,0
El Dorado County2005,CA,2005,176.84,El Dorado County,140.74,5.06,,,,0,1.36,1.6,3.68
El Dorado County2000,CA,2000,156.3,El Dorado County,140.74,5.94,,,,,1.36,1.6,3.68
El Dorado County1995,CA,1995,144.2,El Dorado County,18.01,5.6,,,,,1.36,1.6,3.68
El Dorado County1990,CA,1990,0.1,El Dorado County,140.74,75.51,,,,,1.36,1.6,3.68
El Dorado County1985,CA,1985,103.85,El Dorado County,140.74,75.51,,,,,1.36,1.6,3.68
Fresno County2015,CA,2015,974.86,Fresno County,1266.77,1116.48,1614.96,1115.32,1.27,1.16,13.24,0.31,7.93
Fresno County2010,CA,2010,930.45,Fresno County,140.74,1093.78,2488.89,1092.25,,1.53,14.03,11.23,11.23
Fresno County2005,CA,2005,877.58,Fresno County,140.74,1147.7,,,,0,1.36,1.6,3.68
Fresno County2000,CA,2000,799.41,Fresno County,140.74,1227.59,,,,,1.36,1.6,3.68
Fresno County1995,CA,1995,754.1,Fresno County,2585.08,1170.4,,,,,1.36,1.6,3.68
Fresno County1990,CA,1990,16.74,Fresno County,140.74,75.51,,,,,1.36,1.6,3.68
Fresno County1985,CA,1985,579.69,Fresno County,140.74,75.51,,,,,1.36,1.6,3.68
Glenn County2015,CA,2015,28.02,Glenn County,522.49,234.28,660.62,234.24,0.02,0.04,1.98,0,0
Glenn County2010,CA,2010,28.12,Glenn County,140.74,225.2,598.81,225.15,,0.05,2.09,0,0
Glenn County2005,CA,2005,27.76,Glenn County,140.74,222.93,,,,0,1.36,1.6,3.68
Glenn County2000,CA,2000,26.45,Glenn County,140.74,194.72,,,,,1.36,1.6,3.68
Glenn County1995,CA,1995,26.6,Glenn County,683.36,242.4,,,,,1.36,1.6,3.68
Glenn County1990,CA,1990,0.39,Glenn County,140.74,75.51,,,,,1.36,1.6,3.68
Glenn County1985,CA,1985,23.08,Glenn County,140.74,75.51,,,,,1.36,1.6,3.68
Humboldt County2015,CA,2015,135.73,Humboldt County,45.66,45.69,59.58,45.25,0.3,0.44,1.71,0,0
Humboldt County2010,CA,2010,134.62,Humboldt County,140.74,27.32,37.49,26.54,,0.78,1.69,0,0
Humboldt County2005,CA,2005,128.38,Humboldt County,140.74,35.8,,,,0,1.36,1.6,3.68
Humboldt County2000,CA,2000,126.52,Humboldt County,140.74,33.92,,,,,1.36,1.6,3.68
Humboldt County1995,CA,1995,124.5,Humboldt County,44.23,21.5,,,,,1.36,1.6,3.68
Humboldt County1990,CA,1990,0.32,Humboldt County,140.74,75.51,,,,,1.36,1.6,3.68
Humboldt County1985,CA,1985,112.9,Humboldt County,140.74,75.51,,,,,1.36,1.6,3.68
Imperial County2015,CA,2015,180.19,Imperial County,1349.93,508.48,1849.88,508.18,0.35,0.3,5.86,10.88,0
Imperial County2010,CA,2010,174.53,Imperial County,140.74,558.17,1087.52,557.88,,0.29,7.19,10.28,0.57
Imperial County2005,CA,2005,155.82,Imperial County,140.74,504.26,,,,0,1.36,1.6,3.68
Imperial County2000,CA,2000,142.36,Imperial County,140.74,628.89,,,,,1.36,1.6,3.68
Imperial County1995,CA,1995,137.4,Imperial County,2285.66,570,,,,,1.36,1.6,3.68
Imperial County1990,CA,1990,8.07,Imperial County,140.74,75.51,,,,,1.36,1.6,3.68
Imperial County1985,CA,1985,105.72,Imperial County,140.74,75.51,,,,,1.36,1.6,3.68
Inyo County2015,CA,2015,18.26,Inyo County,12.64,17.73,17.17,17.49,0.25,0.24,0.23,25.74,9.46
Inyo County2010,CA,2010,18.55,Inyo County,140.74,22.41,81.45,22.16,,0.25,0.23,9.2,3.38
Inyo County2005,CA,2005,18.16,Inyo County,140.74,14.9,,,,0,1.36,1.6,3.68
Inyo County2000,CA,2000,17.95,Inyo County,140.74,15.07,,,,,1.36,1.6,3.68
Inyo County1995,CA,1995,18.45,Inyo County,44.93,11,,,,,1.36,1.6,3.68
Inyo County1990,CA,1990,0.15,Inyo County,140.74,75.51,,,,,1.36,1.6,3.68
Inyo County1985,CA,1985,18.27,Inyo County,140.74,75.51,,,,,1.36,1.6,3.68
Kern County2015,CA,2015,882.18,Kern County,1273.83,815.09,1614.93,813.42,2.09,1.67,12.17,4.52,0
Kern County2010,CA,2010,839.63,Kern County,140.74,737.79,1797.91,734.53,,3.26,11.86,4.21,0
Kern County2005,CA,2005,756.83,Kern County,140.74,829.06,,,,0,1.36,1.6,3.68
Kern County2000,CA,2000,661.65,Kern County,140.74,929.14,,,,,1.36,1.6,3.68
Kern County1995,CA,1995,616.7,Kern County,1758.27,821.7,,,,,1.36,1.6,3.68
Kern County1990,CA,1990,2.12,Kern County,140.74,75.51,,,,,1.36,1.6,3.68
Kern County1985,CA,1985,480.68,Kern County,140.74,75.51,,,,,1.36,1.6,3.68
Kings County2015,CA,2015,150.97,Kings County,482.53,457.36,637.13,457.17,0.22,0.19,14.87,0,0
Kings County2010,CA,2010,152.98,Kings County,140.74,558.95,1251.2,558.7,,0.25,13.87,0,0
Kings County2005,CA,2005,143.42,Kings County,140.74,497,,,,0,1.36,1.6,3.68
Kings County2000,CA,2000,129.46,Kings County,140.74,535.65,,,,,1.36,1.6,3.68
Kings County1995,CA,1995,114.9,Kings County,1050.57,493.2,,,,,1.36,1.6,3.68
Kings County1990,CA,1990,2.96,Kings County,140.74,75.51,,,,,1.36,1.6,3.68
Kings County1985,CA,1985,84.56,Kings County,140.74,75.51,,,,,1.36,1.6,3.68
Lake County2015,CA,2015,64.59,Lake County,41.86,28.79,52.51,28.48,0.21,0.31,0.07,0,0
Lake County2010,CA,2010,64.67,Lake County,140.74,17.04,32.65,16.76,,0.28,0.07,0,0
Lake County2005,CA,2005,65.15,Lake County,140.74,18.14,,,,0,1.36,1.6,3.68
Lake County2000,CA,2000,58.31,Lake County,140.74,13.87,,,,,1.36,1.6,3.68
Lake County1995,CA,1995,55.1,Lake County,48.9,15.6,,,,,1.36,1.6,3.68
Lake County1990,CA,1990,0.13,Lake County,140.74,75.51,,,,,1.36,1.6,3.68
Lake County1985,CA,1985,47.66,Lake County,140.74,75.51,,,,,1.36,1.6,3.68
Lassen County2015,CA,2015,31.35,Lassen County,65.9,100.91,88.54,100.81,0.11,0.1,0.65,0.01,17.28
Lassen County2010,CA,2010,34.9,Lassen County,140.74,94.7,175.57,94.55,,0.15,0.72,0,17.28
Lassen County2005,CA,2005,34.75,Lassen County,140.74,92,,,,0,1.36,1.6,3.68
Lassen County2000,CA,2000,33.83,Lassen County,140.74,173.88,,,,,1.36,1.6,3.68
Lassen County1995,CA,1995,28.65,Lassen County,257.8,107,,,,,1.36,1.6,3.68
Lassen County1990,CA,1990,0.32,Lassen County,140.74,75.51,,,,,1.36,1.6,3.68
Lassen County1985,CA,1985,24.38,Lassen County,140.74,75.51,,,,,1.36,1.6,3.68
Los Angeles County2015,CA,2015,10170.29,Los Angeles County,26.42,29.47,17.63,19.01,12.95,10.46,0.37,0.04,0
Los Angeles County2010,CA,2010,9818.61,Los Angeles County,140.74,34.86,61.82,24.89,,9.97,0.56,0.06,0
Los Angeles County2005,CA,2005,9935.48,Los Angeles County,140.74,20.15,,,,0,1.36,1.6,3.68
Los Angeles County2000,CA,2000,9519.34,Los Angeles County,140.74,33.99,,,,,1.36,1.6,3.68
Los Angeles County1995,CA,1995,9352.2,Los Angeles County,31.67,16.4,,,,,1.36,1.6,3.68
Los Angeles County1990,CA,1990,3.98,Los Angeles County,140.74,75.51,,,,,1.36,1.6,3.68
Los Angeles County1985,CA,1985,8105.54,Los Angeles County,140.74,75.51,,,,,1.36,1.6,3.68
Madera County2015,CA,2015,155,Madera County,620.92,303.97,771.58,303.35,0.65,0.62,6.18,0,0
Madera County2010,CA,2010,150.87,Madera County,140.74,297.84,709.94,297.05,,0.79,7,0.01,0
Madera County2005,CA,2005,142.79,Madera County,140.74,294.71,,,,0,1.36,1.6,3.68
Madera County2000,CA,2000,123.11,Madera County,140.74,312.88,,,,,1.36,1.6,3.68
Madera County1995,CA,1995,106.4,Madera County,760.52,311.2,,,,,1.36,1.6,3.68
Madera County1990,CA,1990,1.82,Madera County,140.74,75.51,,,,,1.36,1.6,3.68
Madera County1985,CA,1985,75.75,Madera County,140.74,75.51,,,,,1.36,1.6,3.68
Marin County2015,CA,2015,261.22,Marin County,35.23,9.87,40.5,9.3,0.4,0.57,1.19,0,0
Marin County2010,CA,2010,252.41,Marin County,140.74,0.69,8.42,0,,0.69,1.03,0,0
Marin County2005,CA,2005,246.96,Marin County,140.74,0,,,,0,1.36,1.6,3.68
Marin County2000,CA,2000,247.29,Marin County,140.74,2.91,,,,,1.36,1.6,3.68
Marin County1995,CA,1995,238.9,Marin County,1.13,1,,,,,1.36,1.6,3.68
Marin County1990,CA,1990,0.14,Marin County,140.74,75.51,,,,,1.36,1.6,3.68
Marin County1985,CA,1985,223.99,Marin County,140.74,75.51,,,,,1.36,1.6,3.68
Mariposa County2015,CA,2015,17.53,Mariposa County,13.32,3.68,17.41,3.64,0.03,0.04,0.39,0,0
Mariposa County2010,CA,2010,18.25,Mariposa County,140.74,0.75,2.35,0.7,,0.05,0.32,0,0
Mariposa County2005,CA,2005,18.07,Mariposa County,140.74,0.9,,,,0,1.36,1.6,3.68
Mariposa County2000,CA,2000,17.13,Mariposa County,140.74,1.25,,,,,1.36,1.6,3.68
Mariposa County1995,CA,1995,15.9,Mariposa County,4.22,1.7,,,,,1.36,1.6,3.68
Mariposa County1990,CA,1990,0.65,Mariposa County,140.74,75.51,,,,,1.36,1.6,3.68
Mariposa County1985,CA,1985,13.39,Mariposa County,140.74,75.51,,,,,1.36,1.6,3.68
Mendocino County2015,CA,2015,87.65,Mendocino County,57.52,27.78,68.56,27.62,0.11,0.16,0.35,0.01,0
Mendocino County2010,CA,2010,87.84,Mendocino County,140.74,40.19,65.39,40,,0.19,0.47,0,0.22
Mendocino County2005,CA,2005,88.16,Mendocino County,140.74,29.25,,,,0,1.36,1.6,3.68
Mendocino County2000,CA,2000,86.27,Mendocino County,140.74,27.54,,,,,1.36,1.6,3.68
Mendocino County1995,CA,1995,84.3,Mendocino County,36.19,23.6,,,,,1.36,1.6,3.68
Mendocino County1990,CA,1990,0.24,Mendocino County,140.74,75.51,,,,,1.36,1.6,3.68
Mendocino County1985,CA,1985,73.54,Mendocino County,140.74,75.51,,,,,1.36,1.6,3.68
Merced County2015,CA,2015,268.46,Merced County,745.33,553.53,970.36,553.25,0.2,0.28,24.86,3.5,30.83
Merced County2010,CA,2010,255.79,Merced County,140.74,613.34,1373.85,613.04,,0.3,24.19,0.66,35
Merced County2005,CA,2005,241.71,Merced County,140.74,524.95,,,,0,1.36,1.6,3.68
Merced County2000,CA,2000,210.55,Merced County,140.74,569.22,,,,,1.36,1.6,3.68
Merced County1995,CA,1995,198.5,Merced County,1272.12,517.8,,,,,1.36,1.6,3.68
